sentiment,skin_type_mentioned,key_benefit,complaint,customer_representative_reply,dark_spot_effect
Positif,kering & sensitif,Poripori di wajah mengecil sehingga lebih halus,"Tidak ada keluhan lain yang disebutkan, hanya breakout awal karena vitamin C","Terima kasih telah memilih produk kami! Kami senang mendengar bahwa Anda telah merasakan hasil yang positif dari produk kami. Kami menyadari bahwa beberapa orang mungkin mengalami breakout awal karena vitamin C, tetapi kami percaya bahwa manfaat produk kami jauh lebih besar daripada bahaya tersebut. Jika Anda memiliki pertanyaan atau kekhawatiran lebih lanjut, jangan ragu untuk menghubungi kami. Kami terus berkomitmen untuk memberikan produk yang berkualitas tinggi dan aman untuk digunakan.",
Positif,sensitif,"lembut, tidak lengket",None,Terima kasih atas ulasan Anda! Kami senang mengetahui bahwa produk sunscreen kami dapat digunakan dengan baik untuk kulit sensitif. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda. Mohon terus mendukung kami!,
Positif,N/A,"Lebih cerah, pori-pori mengecil, dan komedo hilang setelah menggunakan lightening serum selama 1 minggu.",Tidak ada keluhan yang disebutkan dalam review ini,"Terima kasih atas review positif Anda! Kami senang mengetahui bahwa Lightening Serum Azarine telah memberikan hasil yang baik bagi Anda. Kami akan terus meningkatkan kualitas produk kami untuk memberikan pelayanan terbaik kepada pelanggan kami. Sekali lagi, terima kasih!",
Positif,N/A,"mencerahkan, melembabkan wajah, mengurangi kelembaban",None,"Terima kasih sudah menggunakan produk kami, Serum C White Lightening dari Azarine! Kami senang mendengar bahwa produk kami telah membantu membuat wajah Anda lebih cerah dan tidak lengket. Kami selalu berusaha untuk memastikan bahwa produk kami nyaman digunakan dan efektif. Jika Anda memiliki pertanyaan atau kebutuhan tambahan, silakan hubungi customer service kami.",
Positif,N/A,"Tidak lengket, cepat meresap, tekstur lembut, kulit menjadi lembap dan cerah",None,"Terima kasih atas review positif Anda untuk Serum Azarine kami! Kami senang melihat kulit Anda menjadi lebih lembap dan cerah. Kami akan terus bekerja untuk meningkatkan kualitas produk kami untuk tetap memenuhi kebutuhan kulit Anda. Untuk keterbukaan, kami ingin mengetahui lebih lanjut tentang kondisi kulit Anda, apakah Anda memiliki kulit sensitif atau tidak. Kami senang menghadapi pertanyaan dan saran Anda untuk meningkatkan pengalaman pengguna kami.",
Positif,N/A,"Tingkat kecerahan wajah bertambah, mengurangi darkspot, membuat kulit lebih lembap",None,Terima kasih telah meninggalkan review positif tentang produk Azarine! Kami senang produk kami telah membantu meningkatkan kecerahan wajah dan membuat kulit Anda lebih lembap. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda dan pelanggan kami lainnya.,
Positif,N/A,"Mencerahkan, tekstur ringan, tidak meninggalkan white case, aman digunakan karena sudah BPOM, mudah menyerap ke kulit wajah.",None,Terima kasih atas review positifnya! Kami senang serum kami bisa memenuhi harapan Anda. Semoga produk kami terus bisa membantu menjaga kulit Anda tetap sehat dan cantik!,
Positif,N/A,"Ringan, mudah digunakan dan terjangkau",None,Terima kasih telah memilih produk kami! Kami senang Anda puas dengan kandungan dan kinerja sunscreen kami. Kami siap membantu Anda kembali jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut. Selamat mencoba produk lainnya dari Azarine!,
Positif,N/A,Mampu melembabkan dan mencerahkan kulit,None,Terima kasih sudah memilih produk kami! Kami senang mendengar bahwa produk kami membantu melembabkan dan mencerahkan kulit Anda. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk memberikan yang terbaik bagi Anda.,
Positif,N/A,"Bisa bikin wajah lembab, kenyal, cerah, dan glowing",None,"Terima kasih sudah memilih produk sunscreen Azarine, kami senang sekali mendengar bahwa Anda merasakan perubahan positif pada kulit Anda. Kami akan terus berkomitmen untuk memberikan produk yang berkualitas dan nyaman digunakan. Selamat menikmati hasilnya!",
Positif,N/A,"Lightweight, ringan di kulit, tidak meninggalkan efek lengket, harganya terjangkau, dan tidak menimbulkan bau yang tidak disukai",None,"Terima kasih sudah memilih produk kami! Kami senang mengetahui bahwa Anda menikmati serum Vitamin C kita. Kami akan terus berusaha untuk memberikan kualitas produk yang terbaik. Apakah Anda memiliki saran atau pertanyaan lain, jangan ragu untuk bertanyakan kepada kami!",
Positif,N/A,produknya efektif dalam memberikan hasil yang baik setelah digunakan beberapa hari,None,Terima kasih sudah mencoba produk kami! Kami senang mendengar bahwa Anda suka tekstur dan wangi jeruk produk kami serta hasil yang diperoleh. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk memenuhi kebutuhan pelanggan seperti Anda.,
Positif,N/A,Hasil sunscreen yang keliatan,None,"Terima kasih sudah mencoba produk kami! Kami senang mendengar bahwa kamu suka dengan tekstur, bau, dan hasil produk kami. Kami juga akan terus meningkatkan kualitas produk kami untuk membantu kulit kamu tetap sehat dan cantik. Sekali lagi, terima kasih atas kepercayaanmu!",
Positif,N/A,"Membuat wajah lebih cerah, mengurangi jerawat",None,"Terima kasih telah memilih produk kami! Kami senang melihat bahwa Anda telah menikmati hasil dari penggunaan Serum Vit C kami. Pencapaian kulit yang lebih cerah dan bercahaya adalah salah satu tujuan utama kami, dan kami senang Anda telah berhasil mencapainya. Teruslah menjaga kulit Anda dengan baik!",
Positif,N/A,"Mencerahkan dan membuat kulit glowing, menyamarkan noda bekas jerawat",None,Terima kasih atas ulasan positifnya! Kami senang serum sunscreen kami membantu membuat kulitnya lebih cerah dan menyamarkan noda bekas jerawat. Kami berharap produk kami terus membantu dalam menjaga kesehatan kulitnya.,
Positif,berminyak,mencerahkan wajah,None,Terima kasih sudah memilih produk Azarine! Kami senang mendengar bahwa Anda puas dengan hasil penggunaan serum kita. Apakah Anda memiliki pertanyaan lain atau butuh bantuan lebih lanjut? Segera hubungi kami melalui chat atau email untuk mendapatkan dukungan tambahan. Terima kasih atas saran Anda!,
Positif,N/A,"produk ini cocok, seger, nyaman, teksturnya mudah meresap, tidak lengket, kandungan produk bagus untuk auto glowing",None,"Terima kasih telah mencoba produk kami, Bestie! Kami senang mendengar bahwa Anda nyaman menggunakan produk kami. Jika Anda memiliki pertanyaan atau khusus yang ingin kami bantu, silahkan hubungi kami melalui media sosial kami.",
Positif,N/A,Mengurangi kelelahan wajah sehingga terlihat cerahan,None,"Terima kasih sudah mencoba produk sunsceen kami, Azarine! Kami senang membantu Anda mencapai kulit yang cerah dan sehat. Silakan terus menggunakan produk kami untuk mendapatkan hasil yang optimal. Kami juga berharap Anda bisa menerima diskon spesial bagi pelanggan setia kami.",
Positif,N/A,mencerahkan kulit,None,Terima kasih sudah memilih produk kami! Kami senang produk kami telah membantu mencerahkan kulit Anda. Kami akan terus berusaha untuk memberikan produk yang berkualitas tinggi. Selamat mencoba produk kami lainnya!,
Positif,N/A,"Menghilangkan jerawat, membuat kulit lebih sehat, glowing, dan kemerahan berkurang",None,"Terima kasih telah memilih produk kami! Kami senang mendengar bahwa Anda telah menemukan hasil yang baik dengan menggunakan produk suntik mata kami. Kami akan terus bekerja untuk meningkatkan kualitas produk kami. Saya harap Anda akan terus menggunakan dan merekomendasikan produk kami! Jika Anda memiliki pertanyaan atau masalah lainnya, jangan ragu untuk menghubungi kami.",
Positif,cenderung kombinasi,"daya serapnya yang cepet, efektif, membuat wajah lebih cerahan",None,"{'response_content': 'Terima kasih sudah memilih produk kami! Kami senang mendengar bahwa Anda suka dengan produktivitas kami. Kami akan terus meningkatkan kualitas kami untuk memberikan hasil terbaik bagi Anda.', 'responsiveness_level': 'Moderate', 'tone': 'Ramah', 'response_type': 'Pengucapan Syukur'}",
Negatif,"berminyak, sensif",,"Produk membuat kulit tambah berminyak, kusam, sensitif, dan menyebabkan jerawat","Terima kasih atas umpan balik Anda. Kami senang Anda mencoba produk kami, tapi sayangnya tidak sesuai dengan kebutuhan kulit Anda. Kami akan berusaha untuk meningkatkan kualitas produk kami. Jika Anda ingin mencoba produk lain yang lebih sesuai dengan kebutuhan kulit Anda, silakan hubungi kami kembali. Kami berkomitmen untuk memberikan pengalaman terbaik bagi setiap pelanggan kami.",
Positif,berminyak kering,bikin cerah,"bikin bruntusan di dahi plus milia dibawah mata, butuh prosess","Terima kasih atas review Anda! Kami senang Anda merasakan efek cerah pada wajah Anda. Untuk bruntusan dan milia, kami sarankan Anda untuk mengikuti instruksi penggunaan produk secara benar dan tidak menggunakannya terlalu lama dalam satu waktu. Jika Anda memiliki pertanyaan atau kekhawatiran lebih lanjut, jangan ragu untuk menghubungi kami.",
Positif,N/A,Manfaat wajah mencerah,None,Terima kasih atas ulasan Anda! Kami senang Anda menyukai tekstur produk dan manfaat yang didapatkan. Kami akan terus berusaha untuk membuat produk yang memuaskan. Selamat menjalani perawatan kulit yang sehat dan Radiant!,
Positif,N/A,"Menyehatkan kulit, membuat kulit menjadi lembut, lembab, dan kenyal",Baunya kurang disukai,"Terima kasih telah memilih produk Azarine! Kami senang Anda puas dengan hasil yang diperoleh. Untuk permasalahan baunya, kami akan memastikan untuk melakukan pengecekan kualitas produk kami lagi. Sopan dan hormat, Tim Azarine.",
Positif,lembab,mengurangi komedo dan membuat kulit cerah,lembab dan muncul komedo,Terima kasih telah menggunakan produk Sunscreen Azarine. Kami senang mendengar bahwa produk kami telah membantu mengurangi komedo Anda dan membuat kulit lebih cerah. Kami akan terus meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda. Apakah Anda memiliki pertanyaan atau kebutuhan tambahan? Kami ada untuk membantu.,
Positif,N/A,"Tidak bikin breakout, mencerahkan, dan enak digunakan",None,Terima kasihlah atas reviewnya! Kami senang mendengar bahwa Anda nyaman menggunakan produk kami. Kami akan terus berusaha untuk meningkatkan kinerja produk kami agar Anda puas lebih banyak lagi.,
Positif,N/A,Membuat wajah lebih cerah dan tidak lengket saat diaplikasikan,None,"Terima kasih sudah mencoba produk kami, kami senang mendengar bahwa Anda merasakan manfaat dari serum sunscreen kami.
Penting bagi kami untuk memastikan bahwa Anda puas dengan produk kami, dan kami berharap Anda akan terus menggunakan kami sebagai bagian dari kebiasaan perawatan kulit Anda. Jika Anda memiliki pertanyaan atau saran, jangan ragu untuk menghubungi kami!",
Positif,N/A,Mengurangi bekas jerawat dan membuat wajah glowing,None,"Terima kasih telah menggunakan produk Sunscreen dari Azarine! Kami senang mendengar bahwa produk kami telah membantu Anda dalam mengurangi bekas jerawat. Kami senang bisa membantu Anda mencapai wajah yang lebih glowing. Untuk informasi lebih lanjut tentang produk kami, silakan hubungi kami melalui media sosial atau email kami.",
Positif,N/A,"Mencerahkan, mengencang, mengembalikan, melembabkan kulit, dan membuat kulit cerah dan glowing",None,"Terima kasih telah memilih Azarine Vitamin C Energy Concentrate untuk perawatan kulit Anda! Kami senang Anda merasakan manfaatnya. Serum kami diformulasikan dari bahan aktif alami untuk membantu membuat kulit Anda lebih cerah, lembab, dan glowing. Jika Anda memiliki pertanyaan atau membutuhkan informasi lebih lanjut, silakan hubungi kami.",
Positif,N/A,Mencerahkan wajah dan mengandung niacinamide,None,"Terima kasih sudah memilih produk kami, Azarine! Kami senang mengetahui bahwa Anda puas dengan hasilnya. Niacinamide dan bahan-bahan lainnya di dalam produk kami dirancang untuk memberikan wajah yang lebih cerah dan sehat. Kami akan terus berusaha untuk memberikan produk terbaik untuk Anda dan keluarga kami. Jika Anda memiliki pertanyaan atau memerlukan saran, jangan ragu untuk menghubungi kami.",
Positif,normal to oily,Produk sunscreen dapat membuat kulit wajah tumbuh dan terlihat sehat dalam 7 hari,None,"Terima kasih telah memilih produk kami, Azarine! Kami senang mengetahui bahwa Anda merasakan manfaat dari produk sunscreen kami. Kami berharap Anda akan terus menggunakan produk kami dan melanjutkan untuk menikmati hasil yang positif. Jika Anda memiliki pertanyaan atau komentar lainnya, jangan ragu untuk menghubungi kami.",
Positif,N/A,Kulit menjadi lebih cerah,None,"Terima kasih telah menggunakan produk Azarine lightening serum kami! Kami senang Anda merasa nyaman dan puas dengan produk kami. Kami akan terus berusaha untuk membuat produk yang lebih baik dan memberikan hasil yang memuaskan untuk Anda. Apabila Anda memiliki pertanyaan atau kebutuhan lainnya, silakan hubungi kami di [alamat kontak].",
Positif,N/A,"Lebih cerah, pori-pori mengecil, dan komedo hilang",None,"Terima kasih telah mencoba produk Azarine! Kami senang melihat Anda sudah menyadari hasil yang diinginkan. Pori-pori yang mengecil dan kulit yang lebih cerah merupakan bukti dari efektivitas produk kami. Kami akan terus meningkatkan kualitas produk kami untuk memuaskan kebutuhan Anda. Jika Anda memiliki pertanyaan atau kebutuhan tambahan, jangan ragu untuk menghubungi kami.",
Positif,N/A,produk yang cocok dengan kulitnya,None,Terima kasih telah memberikan ulasan positif tentang produk kami. Kami senang produk kami telah dapat dirasakan cocok dengan kulit Anda. Kami akan terus berusaha memenuhi kebutuhan pelanggan kami. Kami tunggu kedatangan Anda untuk membeli produk kami lagi!,
Positif,N/A,Kulit lebih glowing dan telanjang terasa ringan,None,"Terima kasih atas review Anda! Kami senang mengetahui bahwa Anda merasa puas dengan serum kami. Kami akan terus bekerja untuk memastikan kualitas produk kami. Untuk pemesanan produk lainnya, silakan hubungi kami melalui media sosial kami",
Positif,N/A,produk dapat mencerahkan kulit wajah dalam 7 hari,None,Terima kasih atas review Anda! Kami senang Anda puas dengan produk C White Lightning Serum. Paket penyerapan produk yang praktis memang membuatnya mudah dibawa kemana-mana. Kami akan tetap berusaha untuk meningkatkan kualitas produk sehingga bisa memberikan hasil yang lebih baik. Sampai jumpa lagi!,
Positif,N/A,Mencerahkan dan menghilangkan kusam,None,"Terima kasih telah memilih serum Azarine! Kami senang serum kami membantu Anda meningkatkan kecerahan wajah Anda. Kami berharap Anda akan terus melanjutkan perawatan kulit yang seimbang dan efektif dengan produk kami. Jika Anda memerlukan bantuan lebih lanjut, jangan ragu untuk menghubungi kami.",
Positif,N/A,Mencerahkan kulit dan membuat kulit terasa fresh,None,"Terima kasih telah memilih produk kami! Kami senang mendengar bahwa Anda mencintai aroma dan keampuhan serum kami. Semoga produk kami terus membantu kulit Anda tetap terlihat cantik dan sehat! Untuk informasi lebih lanjut tentang produk kami, silakan hubungi kami di halaman kontak kami.",
Positif,N/A,Membuat kulit lebih cerah dan sehat,None,"Terima kasih telah memilih produk C White dari Azarine. Kami senang melihat Anda puas dengan serum lightening kami. Kami akan terus berusaha untuk memberikan produk yang berkualitas terbaik untuk Anda. Salam hangat, Tim Azarine",
Positif,N/A,"Cerah, lembab, dan kulit wajah terlihat sehat",None,"Terima kasih telah mencoba Lightening Serum Azarine. Kami senang mendengar bahwa Anda menemukan hasil yang positif dari produk kami. Kami akan terus berkomitmen untuk memberikan produk yang berkualitas tinggi untuk kebutuhan Anda. Jika Anda memiliki pertanyaan atau membutuhkan saran, jangan ragu untuk menghubungi kami.",
Positif,N/A,"Teksturnya ringan, meresap dengan cepat, tidak lengket, tidak memiliki bau menyengat, bahan alaminya",None,Terima kasih telah mencobakan produk sunscreen Azarine kami! Kami senang Anda puas dengan tekstur ringan dan cepat meresapnya produk kami. Kami juga memastikan bahan-bahan kami aman dan alami untuk kulit Anda. Kami harap Anda terus menggunakan produk kami dan menikmati hasilnya! 💛,
Positif,N/A,"Mencerahkan kulit dalam waktu singkat, menjadikan kulit lembab dan glowing",None,"Terima kasih sudah menggunakan produk c White series kami, senang mendengar Anda puas dengan hasilnya. Kami akan selalu berusaha untuk meningkatkan produktivitas dan kualitas produk kami. Selamat berkecantikan!",
Positif,N/A,"Lebih cerah, pori-pori mengecil, komedo hilang",None,Terima kasih telah memilih produk Azarine! Kami senang Anda puas dengan hasil penggunaan serum kami. Kami selalu siap membantu jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut. Selamat berkecantikan!,
Negatif,Tidak diketahui,Tidak ada,"Kulit lekukan hidung terkelupas, terbakar, dan tidak berguna pada kulitnya","{'text': 'Saya sangatlah mengapresiasi Anda telah memberikan umpan balik dari produk kami. Kami sungguh-sungguh menyayangkan bahwa produk kami tidak cocok untuk kulit Anda. Kami akan senang membantu Anda menemukan solusi yang tepat untuk kebutuhan kulit yang unik. Silakan menghubungi kami melalui hotline kami atau email kami untuk membahas lebih lanjut. Terima kasih atas kepercayaan Anda, dan kami harap Anda senang dengan pengalaman berbelanja di Azarine.'}",
Positif,berminyak,"Bekas jerawat berangsur memudar, cocok untuk pejuang bekas jerawat",None,"Terima kasih sudah menggunakan produk kami dan membagikan ulasan positif! Kami senang bahwa produk kami membantu mengurangi bekas jerawat Anda. Kami berharap Anda terus menggunakan produk kami dengan hasil yang memuaskan. Jika Anda memiliki pertanyaan atau kebutuhan lain, silakan hubungi kami.",
Positif,N/A,mencerahkan,None,Terima kasih sudah mereview produk kami! Kami senang mendengar bahwa Anda merasakan hasil yang baik dengan penggunaan serum kami. Pengalaman Anda akan kami acu ke depannya untuk terus meningkatkan kualitas produk kami.,
Positif,N/A,"Bentuk (dapatkan kulit sehat) dan wanginya yang disenangi, serta harganya yang affordable",None,Terima kasih sudah memilih produk Azarine! Kami senang kamu menyukai tekstur dan aroma produk sunscreen kami. Kami juga fokus untuk menyediakan kandungan yang aman dan efektif untuk kulit kamu. Kami berharap kamu akan terus menggunakan produk kami dan menikmati hasilnya!,
Positif,N/A,Menghasilkan wajah yang lebih cerah serta lembab,None,"Terima kasih atas ulasan yang sangat positif dari Anda! Kami senang melihat bahwa produk Azarine dapat membantu membuat wajah Anda tampak lebih cerah dan lembab. Kami akan terus berusaha untuk memproduksi produk yang berkualitas tinggi untuk kebutuhan kulit Anda. Sekali lagi, terima kasih atas sokongan Anda.",
Positif,N/A,"Tahap pemakaian bertahap yang membuat kulit terlihat glowing, tidak kering, dan tidak ada efek kelupas atau bruntusan.",None,"Terima kasih telah membagikan pengalaman positif Anda dengan produk Azarine C White! Kami senang melihat bahwa produk kami dapat membantu kulit Anda terlihat lebih bercahaya. Kami juga menghargai kepercayaan Anda dalam memilih produk kami. Jika Anda memiliki pertanyaan atau memerlukan bantuan lebih lanjut, silakan hubungi kami. Kami senang membantu!",
Positif,N/A,"Bisa membantu menghilangkan bekas jerawat, membuat kulit lembab, dan memberikan hasil cerah yang maksimal",None,Terima kasih atas review positif Anda! Kami senang mengetahui bahwa produk kami telah membantu Anda dalam mencapai kulit yang lembab dan cerah. Kami berkomitmen untuk terus meningkatkan kualitas dan kinerja produk kami untuk membantu Anda mencapai hasil yang maksimal.,
Positif,kursam,menghilangkan kusam,None,"Terima kasih atas reviewnya! Kami senang mengetahui bahwa produk sunscreen kami membantu menghilangkan kusam pada kulitnya. Jika butuh bantuan lebih lanjut atau informasi tentang produk lainnya, jangan ragu untuk menghubungi kami.",
Positif,sensitif,"lembab, kulit cerahan",None,Terima kasih atas ulasan positif Anda tentang serum Azarine. Kami senang Anda puas dengan tekstur ringan dan efektivitas produk kami. Kami akan terus berusaha untuk memberikan produk yang memuaskan bagi semua pelanggan kami.,
Positif,N/A,Hilangnya bekas jerawat dan peningkatan kecerahan kulit,None,Terima kasih banyak atas pendapatmu tentang produk kami! Kami senang mendengar bahwa kamu telah menemukan manfaatnya dan kulitmu terlihat lebih cerah. Kami akan terus berusaha untuk meningkatkan kualitas produk kami. Sampai jumpa lagi!,
Positif,"Sebutkan jenis kulit jika ada (misal: berminyak, kering, dll), jika tidak ada tulis 'N/A'",Membantu mengatasi wajah kusam dan memberikan kulit yang cerah dan terawat,None,Terima kasih atas ulasan positif Anda! Kami senang bahwa Lightening Serum Azarine C White Series membantu Anda mendapatkan kulit yang cerah dan terawat. Kami akan terus berusaha untuk mengembangkan produk yang memuaskan Anda. Sampaikan selamat kepada diri sendiri atas perubahan yang positif!,
Positif,N/A,Tekstur ringan dan cepat meresap di kulit,None,Terima kasih sudah mencoba produk skincare Azarine! Kami senang kamu menikmati tekstur yang ringan dan cepat meresap di kulit. Kami akan terus berusaha untuk memberikan produk yang terbaik untuk kamu. Apakah ada pertanyaan atau saran lain yang ingin kamu bagikan?,
Positif,N/A,Mencerahkan kulit,None,Saya sangat senang kamu menyukai produk sunscreen kami! Kami senantiasa berusaha untuk memberikan solusi yang efektif dalam meningkatkan kecantikan kulit. Kami mengucapkan terima kasih atas kepercayaanmu terhadap Azarine. Kami akan terus berkomitmen untuk memberikan produk yang berkualitas tinggi dan membantu kamu dalam mencapai kulit yang cantik.,
Positif,N/A,"Dapat menjaga kulit dari radikal bebas, menutrisi kulit, serta mengobati kulit mati",None,"Terima kasih telah menggunakan produk C White Lightening Serum oleh Azarine, Kami senang produk kami telah membantu Anda untuk menjaga kulit dari radikal bebas dan membersihkan kulit mati! Kami berharap Anda akan terus menikmati manfaat produk kami.",
Positif,Kusam,Membantu mencerahkan wajah dan membuat bekas jerawat memudar,None,"Terima kasih telah memilih produk kami, Azarin! Kami senang mendengar bahwa produk kami membantu mencerahkan wajah dan mengurangi bekas jerawat. Kami akan terus berusaha untuk menyediakan produk yang berkualitas tinggi untuk meningkatkan kepercayaan diri Anda. Jika Anda memiliki pertanyaan atau saran, jangan ragu untuk menghubungi kami!",
Positif,N/A,mencerahkan dan tidak meninggalkan white case pada kulit,None,"{'status': True, 'response': {'title': 'Terima Kasih!', 'message': 'Saya senang kamu menyukai produk sunscreen kami. Kami selalu berusaha untuk memberikan hasil yang memuaskan.', 'signature': 'Salam Hangat dari Tim Azarine'}}",
Positif,N/A,Mencerahkan kulit dalam 7 hari,None,"Terima kasih sudah mencoba produk kami! Kami senang kamu puas dengan hasilnya. Untuk informasi lebih lanjut tentang produk kami, silakan hubungi kami di [kontak kami]. Selamat mencoba produk lainnya!",
Positif,N/A,Merupakan serum ringan yang cepat meresap dengan aroma yang enak,None,Terima kasih atas ulasan Anda! Kami senang produk sunscreen kami membantu Anda memperoleh kulit lembab dan glowing. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk mencapai kepuasan pelanggan seperti Anda.,
Positif,N/A,Bekas cerah,None,"{'message': 'Terima kasih sudah mencoba produk sunscreen kami dan memberikan review yang positif! Kami senang mengetahui bahwa produk kami efektif dalam memberikan hasil cerah pada kulit Anda. Kami akan terus memastikan kualitas produk kami untuk memenuhi kebutuhan pelanggan kami. Jika Anda memiliki pertanyaan atau kebutuhan tambahan, jangan ragu untuk menghubungi kami. Hormat kami.', 'name': 'Aza dari Azarine'}",
Positif,N/A,Tekstur produk yang tidak lengket dan kompatibel dengan wajahnya,None,"Terima kasih telah memilih produk kami, Azarine! Kami senang mengetahui bahwa Anda puas dengan kinerja produk kami. Kami akan terus mengembangkan produk yang memenuhi kebutuhan Anda. Selamat menikmati produk kami!",
Positif,N/A,Merapatkan kulit dan membuat wajah lebih cerah,None,Selamat atas pembelian Anda serum Azarine! Kami senang Anda menemukan hasil yang memuaskan. Tekstur yang meresap dengan baik membuat kulit Anda terus terjaga kelembapannya dan tampilan wajah yang lebih cerah. Kami berharap Anda akan terus menikmati produk kami dan akan kembali lagi!,
Positif,N/A,Makin cerah dan cocok untuk semua tipe kulit,None,"Terima kasih atas review positif Anda tentang produk C White Lightening Serum Azarine! Kami senang Anda menyukai hasilnya setelah beberapa hari pemakaian. Untuk informasi tambahan, kami sarankan agar Anda terus menggunakan produk secara rutin untuk mendapatkan hasil maksimal. Selamat mencintai kulitmu yang sehat!",
Positif,N/A,"Tidak membedarkan jenis manfaat, namun produk memberikan kecerahan pada wajah",None,,
Positif,N/A,Cerahan dan meresap ringan di wajah,None,Terimakasih sudah menggunakan produk c white lightening serum dari Azarine! Kami senang mendengar bahwa produk kami telah membantu Anda menambahkan cerahan pada wajah. Kami akan terus berusaha meningkatkan kualitas produk kami untuk memenuhi harapan konsumen. Selamat berkecantikan!,
Positif,N/A,Mencerahkan wajah,None,Terima kasih atas kunjungan Anda ke Azarine! Kami senang mendengar bahwa produk serum kami telah membantu Anda mencapai hasil yang diinginkan. Kami akan terus berusaha untuk memberikan produk yang berkualitas tinggi dan memberikan pelayanan yang baik kepada semua pelanggan. Sampai jumpa lagi!,
Positif,sensitif,mencerahkan wajah tanpa kusam,None,Terima kasih atas kesempatan untuk mencoba produk skincare Azarine Anda! Kami senang mendengar bahwa produk kami telah membantu Anda dalam mencapai kulit yang lebih cerah. Kami memiliki rasa hormat yang sama Anda telah mempercayakan kami untuk perawatan kulit Anda.,
Positif,N/A,Menghilangkan jerawat (auto glowing wajah),None,"Terima kasih telah menggunakannya dan membagikan pengalaman positif Anda tentang c White Lightening Serum Azarine! Kami senang ketika produk kami dapat membantu Anda merasa lebih percaya diri dan memiliki kulit yang sehat. Ingatlah, penting untuk menjaga kulit Anda dari paparan sinar UV dengan menggunakan sunscreen secara rutin. Jika Anda memiliki pertanyaan atau ingin tahu lebih lanjut tentang produk kami, jangan ragu untuk menghubungi kami!",
Positif,N/A,"Membantu kulit terlihat glowing, mengurangi penampilan kusam, dan membuat kulit lebih kenyal dan segar",None,"Terima kasih sangat banyak telah memilih produk C White Serum kami! Kami senang sekali bahwa Anda telah merasakan manfaat dari produk kami. Jika Anda memiliki pertanyaan atau butuh bantuan lebih lanjut, jangan ragu untuk menghubungi kami. Kami selalu siap membantu Anda!",
Positif,N/A,Membuat kulit tidak kusam lagi,None,"Terima kasih sudah memilih Azarine sebagai pilihan produk perawatan kulit Anda! Kami senang Anda menyukai serum kami yang terbuat dari bahan herbal. Kami berkomitmen untuk terus memperbaiki produk kami untuk memenuhi kebutuhan kulit Anda. Jika Anda memiliki pertanyaan atau kekhawatiran, jangan ragu untuk menghubungi kami melalui live chat atau email.",
Positif,N/A,Cepat meresap dan wanginya menyenangkan,None,Terima kasih sudah meninggalkan review positif untuk produk Serum Sunscreen kami! Kami senang melihat Anda menikmati hasil yang memuaskan. Kami akan terus meningkatkan kualitas produk kami untuk Anda dan pelanggan lainnya. Segera sih akan ada promo promosi menarik untuk Anda!,
Positif,N/A,mencerahkan kulit dan vitamin C,None,"{'isi': 'Terima kasih sudah memilih produk azarine. Kami senang sekali mendengar bahwa kamu menyukai produk kami. Semoga kamu terus merasa percaya diri dengan penampilan kamu dengan menggunakan produk kami.', 'nama': 'Dewi', 'jabatan': 'Customer Care'}",
Positif,N/A,Mencerahkan kulit dan wangi yang segerr,None,Halo! Terima kasih telah memilih Azarine sebagai pilihan produk Anda! Kami senang mendengar bahwa Anda merasa puas dengan hasilnya. Serotonin Azarine Serum yang mengandung Vitamin C juga telah membantu meningkatkan kecerahan kulit Anda. Kami sangat berterima kasih atas kepercayaan Anda dan akan terus berusaha untuk memberikan produk yang terbaik untuk Anda.,
Positif,N/A,"Bikin muka cerah, lembab, menyamarkan noda hitam dan bekas jerawat",None,Terima kasih sudah memilih Azarine sebagai pilihan Anda! Kami senang bahwa produk kami sudah memberikan hasil yang Anda harapkan. Kami akan terus berusaha untuk meningkatkan kualitas produk kami. Selamat mencoba produk lainnya dari Azarine!,
Positif,N/A,"Memberikan kulit yang glowing, lembab, dan sehat",None,"Selamat atas pilihan produk kami, customer! Kami senang mengetahui bahwa serum sunscreen kami dapat memberikan hasil yang positif bagi Anda. Terimakasih atas ulasan Anda, dan kami akan terus meningkatkan kualitas produk untuk memberikan kepuasan lebih kepada Anda dan komunitas kami. 💕",
Positif,N/A,"Membuat kulit lebih lembab dan glowing, membuat kulit lebih sehat dan cantik",None,Terima kasih sudah mencoba produk sunscreen kami dan membagikan pengalaman positif! Kami senang produk kami dapat membantu membuat kulit Anda lebih sehat dan cantik. Kami harap Anda akan terus menikmati manfaat produk kami.,
Positif,N/A,Merangsang kulit agar selalu terasa fresh dan segar,None,"Terima kasih telah memilih produk kami, C White Serum. Kami senang Anda puas dengan hasilnya. Kepada para pembaca yang ingin mencoba produk kami, kami berharap Anda juga akan mengalami hasil yang sama. Silakan hubungi kami jika Anda memiliki pertanyaan atau komplain.",
